,label,result
0,常住人口（万人）,0.07320145147216102
1,"人口密度
（人/平方千米）",0.07550179241818664
2,户数（万户）,0.07328215158489329
3,每户平均人口（人）,0.06538087940260379
4,"城市居民人均
可支配收入（元）",0.0617767694603791
5,"城市镇居民人均
消费支出（元）",0.06489822775917042
6,"一般公共财政支出
（亿元）",0.06780995645593477
7,"城市基础设施投资额
（亿元）",0.0650581325697949
8,城市人口密度,0.07386631440702394
9,"城市建成区
绿化覆盖率(%)",0.0749908712106871
10,"地方生产总值
（亿元）",0.06370036795207945
11,人均生产总值（元）,0.048880505205726135
12,"第一产业生产总值
（亿元）",0.06785343549367447
13,"第二产业生产总值
（亿元）",0.06532544378962642
14,"第三产业生产总值
（亿元）",0.05847370081805853
