,label,result
0,常住人口（万人）,0.07027196974822399
1,"人口密度
（人/平方千米）",0.08025135087221599
2,户数（万户）,0.06582694605974974
3,每户平均人口（人）,0.07180405538674973
4,"城市居民人均
可支配收入（元）",0.05984630566222802
5,"城市镇居民人均
消费支出（元）",0.06183628291613456
6,"一般公共财政支出
（亿元）",0.06016222573674962
7,"城市基础设施投资额
（亿元）",0.07570597541621182
8,城市人口密度,0.06133950414236513
9,"城市建成区
绿化覆盖率(%)",0.07011736099915807
10,"地方生产总值
（亿元）",0.06177652444516311
11,人均生产总值（元）,0.06661848359488091
12,"第一产业生产总值
（亿元）",0.07045007568380766
13,"第二产业生产总值
（亿元）",0.0682827252793831
14,"第三产业生产总值
（亿元）",0.055710214056978534
