,label,result
0,常住人口（万人）,0.07204571017625302
1,"人口密度
（人/平方千米）",0.07554772225331029
2,户数（万户）,0.08190818820345744
3,每户平均人口（人）,0.06426217286233109
4,"城市居民人均
可支配收入（元）",0.05389885197340758
5,"城市镇居民人均
消费支出（元）",0.06252544187439749
6,"一般公共财政支出
（亿元）",0.06063633571036322
7,"城市基础设施投资额
（亿元）",0.07380770477159473
8,城市人口密度,0.07769776833133064
9,"城市建成区
绿化覆盖率(%)",0.07071392416765156
10,"地方生产总值
（亿元）",0.06056790958004212
11,人均生产总值（元）,0.0662721099861013
12,"第一产业生产总值
（亿元）",0.05872098301247795
13,"第二产业生产总值
（亿元）",0.057179494802979625
14,"第三产业生产总值
（亿元）",0.06421568229430194
